"ID","ADDRESS","CITY","STATE","ZIP","ListPrice","BEDS","BATHS","LOCATION","SQFT","LotSize","YearBuilt","ParkingSpots","HasGarage","DOM","LastSaleDate","SoldPrev","Realty","LATITUDE","LONGITUDE","ShortSale"
4438616,"1104 Duluth St","St. Paul","MN",55106,123900,4,1,"Payne-Phalen",1075,5227,1922,3,"Garage",15,,"N","Talbot Realty","44,97456","-93,0504","N"
4366382,"1104 Hyacinth Ave E","St. Paul","MN",55106,389000,3,3,"Payne-Phalen",2328,,1921,4,"Garage",137,,"N","RE/MAX Specialists","44,980007","-93,053955","N"
4434385,"1106 Summit Ave","St. Paul","MN",55105,699900,6,"4,25","Summit Hill",5223,26136,1912,12,"Garage",44,,"N","Realty Pro","44,940853","-93,147011","N"
4386233,"11061 Harness Alcove","Woodbury","MN",55129,319000,2,"1,75","Woodbury",1430,,2013,2,"Garage",137,,"N","Cardinal Realty Co.","44,957136","-93,004931","N"
4420614,"1107 Ross Ave","St. Paul","MN",55106,149990,3,2,"Dayton's Bluff",1220,4791,2014,1,"Garage",104,4/9/2009,"Y","RE/MAX Results","44,966068","-93,053917","N"
4432594,"1108 E Minnehaha Pkwy","Minneapolis","MN",55417,499999,3,"2,5","Northrop",2402,6969,1931,2,"Garage",56,20/8/2013,"Y","Rare Form Properties","44,913395","-93,258186","N"
4431356,"1115 25th Ave N","Minneapolis","MN",55411,129900,3,"2,25","Jordan",1496,3484,2006,2,"Garage",63,4/12/2009,"Y","Counselor Realty, Inc","45,004608","-93,294952","N"
4441038,"1115 Euclid St","St. Paul","MN",55106,129900,3,"1,25","Dayton's Bluff",964,8276,1970,2,"Garage",5,,"N","Counselor Realty, Inc","44,955235","-93,053474","Y"
4434342,"1116 Duluth St","St. Paul","MN",55106,169900,3,"1,5","Payne-Phalen",1480,4791,1926,3,"Garage",45,,"N","RE/MAX Professionals","44,975105","-93,0504","N"
4375862,"1120 46th (Kings Highway) St W","Minneapolis","MN",55419,850000,4,"3,25","East Harriet",3646,8712,1932,2,"Garage",137,,"N","Source Properties","44,919872","-93,294502","Y"
